Time (s),ESC signal (µs),Thrust (gf)
6.778135,47.6109,-0.32482302
6.7957,48.612,-0.32482302
6.829465,50.6394,-0.32482302
6.845555,51.7422,-0.129314449
6.861585,52.5861,-0.129314449
6.87667,53.547,-0.129314449
6.89165,54.5169,-0.129314449
6.906705,55.3491,-0.129314449
6.92269,56.295,-0.129314449
6.93871,57.2121,-0.129314449
6.956205,58.1757,-0.129314449
6.97185,59.3046,-0.129314449
6.98772,60.1728,-0.129314449
7.00319,61.1181,-0.0437108
7.01865,62.1912,-0.0437108
7.033845,62.97,-0.0437108
7.050195,63.8844,-0.0437108
7.065685,64.8663,-0.0437108
7.08224,65.7939,-0.0437108
7.09774,66.7908,-0.0437108
7.114285,67.7214,-0.0437108
7.129985,68.7756,-0.0437108
7.14471,69.7128,5.868757063
7.160725,70.5333,5.868757063
7.176925,71.5038,5.868757063
7.191725,72.537,5.868757063
7.206715,73.3539,5.868757063
7.22286,74.3001,5.868757063
7.238915,75.2229,5.868757063
7.255,76.1868,5.868757063
7.27148,77.1927,5.868757063
7.287955,78.2037,5.868757063
7.30546,79.1304,14.22832699
7.3221,80.2224,14.22832699
7.33699,81.1794,14.22832699
7.353235,82.0701,14.22832699
7.3689,83.1525,14.22832699
7.383925,83.9844,14.22832699
7.399885,84.8871,14.22832699
7.414895,85.8426,14.22832699
7.4325,86.7444,14.22832699
7.448945,87.882,23.48371569
7.46486,88.7874,23.48371569
7.480755,89.7435,23.48371569
7.497165,90.7467,23.48371569
7.513115,91.6818,23.48371569
7.529135,92.6385,23.48371569
7.545215,93.7335,23.48371569
7.561015,94.5714,23.48371569
7.57722,95.5152,23.48371569
7.59453,96.5649,32.57171093
7.609945,97.5315,32.57171093
7.628075,98.4522,32.57171093
7.64388,99.5913,32.57171093
7.659955,100.4862,32.57171093
7.677885,101.448,32.57171093
7.69289,102.5517,32.57171093
7.70908,103.4232,32.57171093
7.723955,104.3946,32.57171093
7.74009,105.2883,42.59134999
7.756585,106.2552,42.59134999
7.772135,107.3319,42.59134999
7.788065,108.1878,42.59134999
7.80524,109.1358,42.59134999
7.819995,110.2101,42.59134999
7.834995,111.0528,42.59134999
7.85332,111.951,42.59134999
7.86906,113.0661,42.59134999
7.88413,113.9928,42.59134999
7.899965,114.9015,52.74717984
7.91645,115.848,52.74717984
7.93453,116.9013,52.74717984
7.95001,117.927,52.74717984
7.96607,118.8501,52.74717984
7.981915,119.8143,52.74717984
7.99717,120.774,52.74717984
8.013235,121.6815,52.74717984
8.03071,122.6457,52.74717984
8.0465,123.7464,61.24684751
8.06254,124.6473,61.24684751
8.08278,125.6097,61.24684751
8.09812,126.9174,61.24684751
8.11432,127.7406,61.24684751
8.13026,128.7105,61.24684751
8.145205,129.714,61.24684751
8.16143,130.5654,61.24684751
8.17746,131.5431,61.24684751
8.19308,132.618,70.83416064
8.20923,133.4367,70.83416064
8.224345,134.4036,70.83416064
8.24072,135.3114,70.83416064
8.256975,136.3587,70.83416064
8.272425,137.3181,70.83416064
8.288225,138.1974,70.83416064
8.304375,139.1472,70.83416064
8.3201,140.2332,70.83416064
8.33516,141.06,78.71633755
8.35128,141.9597,78.71633755
8.367235,143.0208,78.71633755
8.38241,143.8857,78.71633755
8.39979,144.7977,78.71633755
8.41629,145.8984,78.71633755
8.4328,146.8278,78.71633755
8.448205,147.8217,78.71633755
8.463395,148.743,78.71633755
8.480065,149.6559,78.71633755
8.496285,150.7044,87.12336015
8.512255,151.629,87.12336015
8.529705,152.5854,87.12336015
8.545525,153.6915,87.12336015
8.564045,154.5885,87.12336015
8.58022,155.7714,87.12336015
8.596465,156.7344,87.12336015
8.61237,157.6434,87.12336015
8.63009,158.5971,87.12336015
8.645275,159.7056,95.56821535
8.661265,160.5765,95.56821535
8.678925,161.5278,95.56821535
8.69433,162.7371,95.56821535
8.710385,163.5114,95.56821535
8.730265,164.4756,95.56821535
8.746325,165.9423,95.56821535
8.761485,166.6383,95.56821535
8.77833,167.5395,95.56821535
8.79444,168.6924,104.2032291
8.810575,169.5225,104.2032291
8.82641,170.4921,104.2032291
8.84346,171.4485,104.2032291
8.860505,172.5354,104.2032291
8.877545,173.496,104.2032291
8.895725,174.6591,104.2032291
8.9142,175.6038,104.2032291
8.93186,176.7072,104.2032291
8.94764,177.7758,112.9188426
8.96357,178.7118,112.9188426
8.98139,179.6697,112.9188426
8.997615,180.7773,112.9188426
